date,sentiment
2018/7/25,1
2018/3/25,-1
2018/10/31,-0.167
2018/9/5,1
2019/2/25,-1
2019/6/20,0.286
2018/12/8,-0.333
2019/6/19,0
2019/1/3,0.333
2019/6/26,1
2019/6/25,0
2019/6/24,1
2019/6/23,0
2019/6/22,-0.5
2019/6/18,1
2019/6/17,1
2019/6/16,0.2
2019/6/12,1
2019/6/11,0
2019/6/10,0
2019/6/9,-1
2019/6/8,0
2019/6/7,-1
2019/6/5,-0.2
2019/6/4,-1
2019/6/3,0
2019/6/2,1
2019/6/1,-0.333
2019/5/29,-1
2019/5/28,0
2019/5/27,1
2019/5/26,0
2019/5/25,-1
2019/5/24,-1
2019/5/23,1
2019/5/22,-1
2019/5/19,-0.333
2019/5/18,-1
2019/5/17,-1
2019/5/16,1
2019/5/15,-1
2019/5/14,-0.5
2019/5/6,0
2019/5/5,0.333
2019/5/4,-1
2019/5/3,0
2019/5/1,0.5
2019/4/30,-1
2019/4/27,1
2019/4/26,0.667
2019/4/25,1
2019/4/24,-1
2019/4/23,1
2019/4/21,0.5
2019/4/20,-1
2019/4/19,-1
2019/4/16,0.333
2019/4/13,0
2019/4/12,-1
2019/4/11,0
2019/4/10,-0.2
2019/4/5,-0.333
2019/4/4,1
2019/4/2,1
2019/3/30,1
2019/3/29,-1
2019/3/28,0.2
2019/3/27,0
2019/3/26,0
2019/3/25,1
2019/3/20,0.4
2019/3/19,-0.333
2019/3/17,-1
2019/3/16,-0.333
2019/3/15,0.333
2019/3/14,1
2019/3/12,-0.5
2019/3/10,-0.5
2019/3/9,0.333
2019/3/8,1
2019/3/7,0.333
2019/3/6,0.5
2019/3/5,1
2019/3/1,1
2019/2/28,0
2019/2/24,0.6
2019/2/23,1
2019/2/22,0.5
2019/2/21,-1
2019/2/17,-0.6
2019/2/16,-0.6
2019/2/15,-1
2019/2/13,1
2019/2/12,1
2019/2/11,-0.333
2019/2/10,-1
2019/2/9,-0.5
2019/2/8,1
2019/2/7,-0.2
2019/2/6,-1
2019/2/5,-1
2019/2/4,-1
2019/2/2,1
2019/2/1,-0.111
2019/1/31,0
2019/1/30,1
2019/1/29,0
2019/1/28,0.6
2019/1/27,-1
2019/1/26,-1
2019/1/25,1
2019/1/24,-1
2019/1/18,-1
2019/1/17,1
2019/1/16,-1
2019/1/15,0.333
2019/1/11,1
2019/1/10,-0.667
2019/1/9,0.5
2019/1/6,1
2019/1/5,-1
2019/1/4,-0.5
2019/1/2,1
2018/12/29,0
2018/12/28,0
2018/12/27,1
2018/12/23,-1
2018/12/22,0.333
2018/12/21,-0.714
2018/12/20,0.333
2018/12/19,0.333
2018/12/18,0
2018/12/16,-0.2
2018/12/15,-0.333
2018/12/12,-0.333
2018/12/11,1
2018/12/9,-1
2018/12/7,1
2018/12/6,1
2018/12/5,-1
2018/12/4,1
2018/12/2,-1
2018/12/1,0
2018/11/30,-1
2018/11/29,-1
2018/11/25,-1
2018/11/24,1
2018/11/23,0.333
2018/11/22,0.429
2018/11/21,0
2018/11/20,0.2
2018/11/19,1
2018/11/18,0.5
2018/11/17,-1
2018/11/14,1
2018/11/13,1
2018/11/12,-1
2018/11/11,0.333
2018/11/10,1
2018/11/8,1
2018/11/6,0
2018/11/5,-1
2018/11/2,1
2018/11/1,0.091
2018/10/28,1
2018/10/27,1
2018/10/26,-0.2
2018/10/25,1
2018/10/24,0.333
2018/10/23,-1
2018/10/22,-1
2018/10/21,1
2018/10/18,0.667
2018/10/17,0.6
2018/10/13,0.429
2018/10/12,0
2018/10/6,-1
2018/10/5,-1
2018/10/4,-1
2018/10/3,-1
2018/10/2,-1
2018/9/29,0.2
2018/9/28,0.2
2018/9/27,1
2018/9/26,0
2018/9/25,1
2018/9/23,-1
2018/9/22,1
2018/9/21,1
2018/9/20,0.333
2018/9/19,0.333
2018/9/18,-1
2018/9/16,1
2018/9/15,1
2018/9/14,1
2018/9/13,0
2018/9/12,0.6
2018/9/10,-1
2018/9/9,0
2018/9/8,0.714
2018/9/7,-0.333
2018/9/6,0.333
2018/9/4,1
2018/9/1,1
2018/8/31,0.5
2018/8/30,-0.5
2018/8/29,1
2018/8/28,1
